epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1654.13,1.30968,1.33763,1.12052,0.94167,0.8385,0.89713,0.55307,1.31598,0.92216,1.12735,0.000665912,0.000665912,0.000665912
2,2782.31,1.28155,0.82858,1.12145,0.93624,0.88309,0.92122,0.57554,1.27822,0.77398,1.13853,0.00120065,0.00120065,0.00120065
3,3617.43,1.25463,0.73529,1.12111,0.94126,0.86879,0.91787,0.58927,1.28409,0.74653,1.13254,0.00160339,0.00160339,0.00160339
4,4431.86,1.22595,0.67706,1.09361,0.9549,0.87927,0.92942,0.61112,1.26619,0.68211,1.10458,0.001406,0.001406,0.001406
5,5285.98,1.19499,0.63403,1.08665,0.97635,0.89431,0.93443,0.62438,1.20373,0.6405,1.09389,0.001208,0.001208,0.001208
6,6162.66,1.16721,0.6,1.06745,0.97601,0.89431,0.94399,0.62921,1.19766,0.6058,1.06632,0.00101,0.00101,0.00101
7,7012.31,1.13661,0.56247,1.05158,0.96431,0.91116,0.9478,0.65245,1.14476,0.55205,1.04872,0.000812,0.000812,0.000812
8,7843.94,1.11963,0.53434,1.03609,0.97904,0.91025,0.95156,0.65472,1.15641,0.55541,1.04881,0.000614,0.000614,0.000614
9,8684.16,1.09442,0.5045,1.02897,0.98174,0.90645,0.95468,0.66905,1.1245,0.50551,1.03585,0.000416,0.000416,0.000416
10,9498.81,1.07668,0.48283,1.02022,0.97169,0.92261,0.95799,0.67907,1.09076,0.48905,1.02098,0.000218,0.000218,0.000218
